symbol	reference_value	candidate_value	status
CONFIG_QCOM_SYSMON	m	n	missing
CONFIG_QCOM_SYSMON_SUBSYSTEM_STATS	m	n	missing
CONFIG_QCOM_TSENS	m	n	missing
CONFIG_QCOM_WATCHDOG_IPI_PING	y	n	missing
CONFIG_QCOM_WATCHDOG_WAKEUP_ENABLE	y	n	missing
CONFIG_QCOM_WDT_CORE	m	n	missing
CONFIG_QPNP_PBS	m	n	missing
CONFIG_QRTR	m	n	missing
CONFIG_QRTR_GUNYAH	m	n	missing
CONFIG_QRTR_MHI	m	n	missing
CONFIG_QRTR_SMD	m	n	missing
CONFIG_QSEECOM	m	n	missing
CONFIG_QSEE_IPC_IRQ_BRIDGE	m	n	missing
CONFIG_QTI_ADC_TM	m	n	missing
CONFIG_QTI_ALTMODE_GLINK	m	n	missing
CONFIG_QTI_BATTERY_CHARGER	m	n	missing
CONFIG_QTI_BATTERY_GLINK_DEBUG	m	n	missing
CONFIG_QTI_BCL_PMIC5	m	n	missing
CONFIG_QTI_BCL_SOC_DRIVER	m	n	missing
CONFIG_QTI_C1DCVS_SCMI_CLIENT	m	n	missing
CONFIG_QTI_CHARGER_ULOG_GLINK	m	n	missing
CONFIG_QTI_CPUFREQ_CDEV	m	n	missing
CONFIG_QTI_CPU_HOTPLUG_COOLING_DEVICE	m	n	missing
CONFIG_QTI_CPU_PAUSE_COOLING_DEVICE	m	n	missing
CONFIG_QTI_CPU_VOLTAGE_COOLING_DEVICE	m	n	missing
CONFIG_QTI_CRYPTO_COMMON	m	n	missing
CONFIG_QTI_DDR_COOLING_DEVICE	m	n	missing
CONFIG_QTI_DEVFREQ_CDEV	m	n	missing
CONFIG_QTI_GPLAF_SCMI_CLIENT	m	n	missing
CONFIG_QTI_HW_KEY_MANAGER	m	n	missing
CONFIG_QTI_HW_MEMLAT_LOG	m	n	missing
CONFIG_QTI_IOMMU_SUPPORT	m	n	missing
CONFIG_QTI_PLH_SCMI_CLIENT	m	n	missing
CONFIG_QTI_PMIC_GLINK	m	n	missing
CONFIG_QTI_PMIC_PON_LOG	m	n	missing
CONFIG_QTI_PMU_SCMI_CLIENT	m	n	missing
CONFIG_QTI_POLICY_ENGINE_SENSOR	m	n	missing
CONFIG_QTI_QMI_COOLING_DEVICE	m	n	missing
CONFIG_QTI_QMI_SENSOR_V2	m	n	missing
CONFIG_QTI_SCMI_C1DCVS_PROTOCOL	m	n	missing
CONFIG_QTI_SCMI_GPLAF_PROTOCOL	m	n	missing
CONFIG_QTI_SCMI_PLH_PROTOCOL	m	n	missing
CONFIG_QTI_SCMI_PMU_PROTOCOL	m	n	missing
CONFIG_QTI_SCMI_SHARED_RAIL_PROTOCOL	m	n	missing
CONFIG_QTI_SDPM_CLOCK_MONITOR	m	n	missing
CONFIG_QTI_SHARED_RAIL_CLIENT	m	n	missing
CONFIG_QTI_SYS_PM_VX	m	n	missing
CONFIG_QTI_THERMAL_LIMITS_DCVS	m	n	missing
CONFIG_QTI_TZ_LOG	m	n	missing
CONFIG_QTI_USERSPACE_CDEV	m	n	missing
CONFIG_REGMAP_QTI_DEBUGFS	m	n	missing
CONFIG_REGULATOR_DEBUG_CONTROL	m	n	missing
CONFIG_REGULATOR_PROXY_CONSUMER	m	n	missing
CONFIG_REGULATOR_QCOM_PM8008	m	n	missing
CONFIG_REGULATOR_QPNP_AMOLED	m	n	missing
CONFIG_REGULATOR_QTI_FIXED_VOLTAGE	m	n	missing
CONFIG_REGULATOR_RPMH	m	n	missing
CONFIG_REGULATOR_STUB	m	n	missing
CONFIG_RPMSG_QCOM_GLINK_SMEM	m	n	missing
CONFIG_RPMSG_QCOM_GLINK_SPSS	m	n	missing
CONFIG_RPMSG_QCOM_SMD	m	n	missing
CONFIG_RTC_DRV_PM8XXX	m	n	missing
CONFIG_SCHED_WALT	m	n	missing
CONFIG_SCSI_UFS_CRYPTO_QTI	m	n	missing
CONFIG_SCSI_UFS_QCOM	m	y	enabled
CONFIG_SENSORS_QTI_AMOLED_ECM	m	n	missing
CONFIG_SENSORS_SSC	m	n	missing
CONFIG_SERIAL_MSM_GENI	m	n	missing
CONFIG_SERIAL_MSM_GENI_CONSOLE	m	n	missing
CONFIG_SERIAL_MSM_GENI_HALF_SAMPLING	y	n	missing
CONFIG_SHOW_SUSPEND_EPOCH	m	n	missing
CONFIG_SLIMBUS	m	n	missing
CONFIG_SLIM_QCOM_NGD_CTRL	m	n	missing
CONFIG_SM_CAMCC_DIWALI	m	n	missing
CONFIG_SM_DEBUGCC_DIWALI	m	n	missing
CONFIG_SM_DISPCC_DIWALI	m	n	missing
CONFIG_SM_GCC_DIWALI	m	n	missing
CONFIG_SM_GPUCC_DIWALI	m	n	missing
CONFIG_SM_VIDEOCC_DIWALI	m	n	missing
CONFIG_SND_USB_AUDIO_QMI	m	n	missing
CONFIG_SPI_MSM_GENI	m	n	missing
CONFIG_SPMI_MSM_PMIC_ARB	m	n	missing
CONFIG_SPMI_MSM_PMIC_ARB_DEBUG	m	n	missing
CONFIG_SPMI_QTI_GLINK_DEBUG	m	n	missing
CONFIG_SPS	m	n	missing
CONFIG_SPS_SUPPORT_NDP_BAM	y	n	missing
