module	loading_stages	disposition	reference_makefiles	target_makefiles	review_rule
coresight-tmc.ko	modules	ack_source_candidate	drivers/hwtracing/coresight/Makefile	drivers/hwtracing/coresight/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-tpda.ko	modules	ack_source_candidate	drivers/hwtracing/coresight/Makefile	drivers/hwtracing/coresight/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-tpdm.ko	modules	ack_source_candidate	drivers/hwtracing/coresight/Makefile	drivers/hwtracing/coresight/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight.ko	modules	ack_source_candidate	drivers/Makefile;drivers/hwtracing/coresight/Makefile	drivers/Makefile;drivers/hwtracing/coresight/Makefile;samples/Makefile;samples/coresight/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
cpu_hotplug.ko	modules	ack_source_candidate	drivers/thermal/qcom/Makefile;drivers/xen/Makefile	drivers/xen/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
cpu_voltage_cooling.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
cqhci.ko	modules	ack_source_candidate	drivers/mmc/host/Makefile	drivers/mmc/host/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
crypto-qti-common.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
crypto-qti-hwkm.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
cs35l41_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
cs35l43_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
dcc_v2.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
dcvs_fp.ko	modules	reference_source_only	drivers/soc/qcom/dcvs/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
ddr_cdev.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
debugcc-diwali.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
debugcc-waipio.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
dispcc-diwali.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
dispcc-waipio.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
dwc3-msm.ko	modules	reference_source_only	drivers/usb/dwc3/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
ehset.ko	modules	ack_source_candidate	drivers/usb/misc/Makefile	drivers/usb/misc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
ep_pcie_drv.ko	modules	reference_source_only	drivers/platform/msm/ep_pcie/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
eud.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
fan53555.ko	modules	ack_source_candidate	drivers/regulator/Makefile	drivers/regulator/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
focaltech_fts.ko	modules	reference_source_only	drivers/input/touchscreen/focaltech_touch/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
fpc1540.ko	modules	reference_source_only	drivers/input/fingerprint/fpc_1540/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
frpc-adsprpc.ko	modules	reference_source_only	drivers/char/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
fsa4480-i2c.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
fts_touch_spi.ko	modules	reference_source_only	drivers/input/touchscreen/fts_spi/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gcc-diwali.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gcc-waipio.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gdsc-regulator.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gh_arm_drv.ko	modules	reference_source_only	arch/arm64/gunyah/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gh_ctrl.ko	modules	reference_source_only	drivers/virt/gunyah/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gh_dbl.ko	modules	reference_source_only	drivers/virt/gunyah/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gh_irq_lend.ko	modules	reference_source_only	drivers/virt/gunyah/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gh_mem_notifier.ko	modules	reference_source_only	drivers/virt/gunyah/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gh_msgq.ko	modules	reference_source_only	drivers/virt/gunyah/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gh_rm_drv.ko	modules	reference_source_only	drivers/virt/gunyah/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
